Time,In Bit Rate,Out Bit Rate
27.Apr 18:10,1016409.15,1006710.85
27.Apr 18:15,1114581.55,1104420.59
27.Apr 18:20,1350515.6,1340890.4
27.Apr 18:25,877310.85,869241.79
27.Apr 18:30,994254.48,985636.48
27.Apr 18:35,1028526.64,1019129.71
27.Apr 18:40,987709.55,978076.96
27.Apr 18:45,1043774.61,1035266.27
27.Apr 18:50,1158117.17,1148416.48
27.Apr 18:55,981329.09,970423.33
27.Apr 19:00,996433.41,987101.49
27.Apr 19:05,1864722.35,1854546.93
27.Apr 19:10,975606.24,966508.48
27.Apr 19:15,844939.52,836667.95
27.Apr 19:20,882293.65,873177.07
27.Apr 19:25,886111.6,876205.84
27.Apr 19:30,798514.91,790875.76
27.Apr 19:35,995634.83,986922.85
27.Apr 19:40,869096.85,859447.76
27.Apr 19:45,896171.47,887121.97
27.Apr 19:50,2188285.17,2177845.36
27.Apr 19:55,1826157.47,1816712.43
27.Apr 20:00,884923.65,874915.2
27.Apr 20:05,1351145.15,1340826.88
27.Apr 20:10,845422.08,836124.8
27.Apr 20:15,912814.88,903121.87
27.Apr 20:20,1203279.79,1192638.11
27.Apr 20:25,947962.4,937545.33
27.Apr 20:30,926206.4,916330.48
27.Apr 20:35,1054934.56,1045576.93
27.Apr 20:40,894815.73,885360.8
27.Apr 20:45,939494.43,929370.08
27.Apr 20:50,1350265.41,1340342.4
27.Apr 20:55,916583.52,906316.56
27.Apr 21:00,887776.51,878627.44
27.Apr 21:05,852525.31,844221.25
27.Apr 21:10,818303.47,809850.29
27.Apr 21:15,928347.87,920786.51
27.Apr 21:20,1048967.2,1040792.61
27.Apr 21:25,-,-
27.Apr 21:30,-,-
27.Apr 21:35,-,-
27.Apr 21:40,-,-
27.Apr 21:45,-,-
27.Apr 21:50,-,-
27.Apr 21:55,-,-
27.Apr 22:00,-,-
27.Apr 22:05,-,-
27.Apr 22:10,-,-
27.Apr 22:15,-,-
27.Apr 22:20,-,-
27.Apr 22:25,751516.88,742707.04
27.Apr 22:30,2022082.05,2012383.15
27.Apr 22:35,1725656.37,1717311.33
27.Apr 22:40,759209.68,751969.71
27.Apr 22:45,775826.67,767957.65
27.Apr 22:50,975084.21,966582.03
27.Apr 22:55,788724.61,781516.21
27.Apr 23:00,773807.01,765691.89
27.Apr 23:05,1235029.31,1223054.21
27.Apr 23:10,846499.23,838478.08
27.Apr 23:15,793933.36,786577.89
27.Apr 23:20,1055296.4,1047897.87
27.Apr 23:25,792170.16,784458.93
27.Apr 23:30,781589.31,773965.92
27.Apr 23:35,1232666.32,1224266.08
27.Apr 23:40,782941.73,775351.31
27.Apr 23:45,715897.17,708843.81
27.Apr 23:50,819021.25,810735.44
27.Apr 23:55,743282.83,735666.91
